make,component,complaint_count,crash_count,crash_rate_pct
FORD,FIRERELATED,5,0.0,0.0
FORD,"ENGINE AND ENGINE COOLING,UNKNOWN OR OTHER",5,0.0,0.0
FORD,"ELECTRICAL SYSTEM,LANE DEPARTURE",7,0.0,0.0
FORD,"WHEELS,UNKNOWN OR OTHER",9,0.0,0.0
FORD,"STRUCTURE,BACK OVER PREVENTION",42,0.0,0.0
FORD,"ELECTRICAL SYSTEM,FORWARD COLLISION AVOIDANCE",10,0.0,0.0
FORD,"UNKNOWN OR OTHER,BACK OVER PREVENTION",44,0.0,0.0
FORD,"STRUCTURE,UNKNOWN OR OTHER,ENGINE",10,0.0,0.0
FORD,"POWER TRAIN,ELECTRICAL SYSTEM",67,0.0,0.0
FORD,"POWER TRAIN,VEHICLE SPEED CONTROL,ENGINE",35,0.0,0.0
FORD,"STEERING,WHEELS",9,0.0,0.0
FORD,"ELECTRICAL SYSTEM,UNKNOWN OR OTHER",97,0.0,0.0
FORD,LANE DEPARTURE,8,0.0,0.0
FORD,"ELECTRICAL SYSTEM,STRUCTURE",47,0.0,0.0
FORD,"ELECTRICAL SYSTEM,VEHICLE SPEED CONTROL,UNKNOWN OR OTHER",5,0.0,0.0
FORD,"POWER TRAIN,ELECTRICAL SYSTEM,FUEL/PROPULSION SYSTEM",10,0.0,0.0
FORD,"POWER TRAIN,SERVICE BRAKES,ENGINE",14,0.0,0.0
FORD,"SUSPENSION,POWER TRAIN",25,0.0,0.0
FORD,"POWER TRAIN,VEHICLE SPEED CONTROL,FUEL/PROPULSION SYSTEM",5,0.0,0.0
FORD,"ELECTRICAL SYSTEM,ENGINE,BACK OVER PREVENTION",5,0.0,0.0
FORD,"VISIBILITY,STRUCTURE",24,0.0,0.0
FORD,"ELECTRICAL SYSTEM,UNKNOWN OR OTHER,FUEL/PROPULSION SYSTEM",7,0.0,0.0
FORD,"UNKNOWN OR OTHER,STRUCTURE",11,0.0,0.0
FORD,"STEERING,UNKNOWN OR OTHER",15,0.0,0.0
FORD,"VEHICLE SPEED CONTROL,ENGINE,FUEL/PROPULSION SYSTEM",18,0.0,0.0
FORD,"POWER TRAIN,ENGINE,FUEL/PROPULSION SYSTEM",62,0.0,0.0
FORD,"ELECTRICAL SYSTEM,SERVICE BRAKES,FORWARD COLLISION AVOIDANCE",9,0.0,0.0
FORD,"FUEL SYSTEM, GASOLINE,BACK OVER PREVENTION",7,0.0,0.0
FORD,TIRES,74,0.0,0.0
FORD,LATCHES/LOCKS/LINKAGES,134,0.0,0.0
FORD,EXTERIOR LIGHTING,172,0.0,0.0
FORD,"FUEL SYSTEM, GASOLINE",236,0.0,0.0
FORD,"UNKNOWN OR OTHER,VISIBILITY/WIPER",38,0.0,0.0
FORD,"VEHICLE SPEED CONTROL,FUEL/PROPULSION SYSTEM",6,0.0,0.0
